outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
629455,1569913215,1569965440,14.51,1,1,1,Fortuna,40.55785,-124.14553
629544,1569913215,1569928219,4.17,1,31,31,San Jose,37.25649,-121.94472
629993,1569913215,1569943255,8.34,1,1,1,Santa Rosa,38.50277,-122.71038
630055,1569913215,1570062022,41.34,1,1,1,Rio Vista,38.12243,-121.83043
630855,1569913215,1569938467,7.01,1,4,4,Oakland,37.73454,-122.13937
631014,1569913215,1570125030,58.84,1,1,1,Olivehurst,39.0775,-121.52568
631074,1569913215,1569913838,0.17,1,1,1,San Jose,37.29857,-121.97725
631133,1569913215,1569939629,7.34,1,1,1,Rio Vista,38.17765,-121.71222
631174,1569913215,1569913838,0.17,1,30,30,Oakland,37.84695,-122.21344
631354,1569913215,1569934854,6.01,1,1,1,San Luis Obispo,35.30441,-120.77233
631639,1569913215,1569926413,3.67,1,7,7,Bakersfield,35.35389,-118.95864
631794,1569913215,1569918012,1.33,1,1,1,Riverdale,36.37987,-119.92783
632115,1569913215,1569915019,0.5,1,1,1,San Mateo,37.56994,-122.31673
632117,1569913215,1569917417,1.17,1,8,8,Cambria,35.54847,-121.08542
632153,1569913215,1569928810,4.33,1,1,1,Walnut Creek,37.89203,-122.03894
632414,1569913215,1569926413,3.67,1,1,1,Napa,38.31483,-122.33438999999998
632474,1569913215,1569918012,1.33,1,1,1,Lemoore,36.29815,-119.76184
632633,1569913215,1569957023,12.17,1,1,1,Clarksburg,38.37341,-121.54748
632634,1569913215,1569929414,4.5,1,1,1,Red Bluff,40.18335,-122.2206
633157,1569913215,1569922217,2.5,1,3,3,Salinas,36.61393,-121.56663
633233,1569913215,1569916231,0.84,1,1,1,San Jose,37.3361,-121.9288
633373,1569913215,1569954621,11.5,1,1,1,Clarksburg,38.36723,-121.54198
633394,1569913215,1569937820,6.83,1,1,1,Soledad,36.45004,-121.35438
633410,1569913215,1569913838,0.17,1,6,6,Moraga,37.83977,-122.12694
633433,1569913215,1569960023,13.0,1,1,1,Woodland,38.65738,-121.77805
633435,1569913215,1569924030,3.0,1,13,13,Firebaugh,36.81337,-120.25931
633444,1569913215,1569925218,3.33,1,5,5,Felton,37.04293,-122.09002
633451,1569913215,1569920421,2.0,1,33,33,Livermore,37.66234,-121.69662
633458,1569913215,1569922813,2.67,1,5,5,Eureka,40.78042,-124.18235
633460,1569913215,1569919223,1.67,1,1,1,Placerville,38.69685,-120.77764
633461,1569913215,1569915624,0.67,1,1,1,Pismo Beach,35.15723,-120.672
633463,1569913215,1569937220,6.67,1,296,296,San Francisco,37.75335,-122.42778
633467,1569913215,1569937820,6.83,1,48,48,San Francisco,37.76364,-122.38797
