Rank,City,Population
1,Los Angeles,"3,959,657"
2,San Diego,"1,401,932"
3,San Jose,"1,026,658"
4,San Francisco,"870,044"
5,Fresno,"522,277"
6,Sacramento,"495,011"
7,Long Beach,"468,883"
8,Oakland,"421,042"
9,Bakersfield,"375,699"
10,Anaheim,"349,668"
11,Santa Ana,"333,499"
12,Riverside,"323,935"
13,Stockton,"306,283"
14,Chula Vista,"266,468"
15,Irvine,"265,502"
16,Fremont,"233,083"
17,San Bernardino,"215,182"
18,Modesto,"211,336"
19,Santa Clarita,"209,478"
20,Fontana,"208,943"
21,Oxnard,"207,568"
22,Moreno Valley,"205,034"
23,Huntington Beach,"200,606"
24,Glendale,"200,372"
25,Santa Rosa,"181,038"
26,Rancho Cucamonga,"175,679"
27,Oceanside,"175,389"
28,Garden Grove,"174,010"
29,Ontario,"173,580"
30,Elk Grove,"168,503"
31,Corona,"165,355"
32,Lancaster,"159,662"
33,Hayward,"158,241"
34,Palmdale,"156,904"
35,Salinas,"156,550"
36,Pomona,"152,494"
37,Sunnyvale,"152,323"
38,Escondido,"151,115"
39,Torrance,"146,392"
40,Pasadena,"141,246"
41,Orange,"139,873"
42,Fullerton,"139,866"
43,Roseville,"133,049"
44,Visalia,"131,066"
45,Concord,"128,758"
46,Thousand Oaks,"128,481"
47,Santa Clara,"126,209"
48,Simi Valley,"126,199"
49,Victorville,"121,861"
50,Vallejo,"120,977"
51,Berkeley,"120,926"
52,East Los Angeles,"119,827"
53,El Monte,"115,669"
54,Fairfield,"114,101"
55,Carlsbad,"113,670"
56,Costa Mesa,"113,198"
57,Downey,"112,901"
58,Temecula,"112,230"
59,Murrieta,"111,427"
60,Antioch,"110,730"
61,Inglewood,"110,327"
62,San Buenaventura (Ventura),"110,234"
63,Richmond,"109,340"
64,West Covina,"107,242"
65,Clovis,"106,666"
66,Daly City,"106,638"
67,Norwalk,"105,886"
68,Santa Maria,"105,483"
69,Burbank city,"104,275"
70,San Mateo,"104,035"
71,Jurupa Valley,"103,784"
72,El Cajon,"103,285"
73,Rialto,"102,873"
74,Arden-Arcade,"100,548"
75,Vista,"100,108"
76,Vacaville,"97,943"
77,Compton,"97,301"
78,Mission Viejo,"96,124"
79,South Gate,"95,103"
80,San Marcos,"94,709"
81,Hesperia,"93,609"
82,Carson,"92,517"
83,Santa Monica,"92,078"
84,Chico,"91,998"
85,Westminster,"91,417"
86,Redding,"91,327"
87,Santa Barbara,"91,325"
88,San Leandro,"90,103"
89,Livermore,"89,027"
90,Tracy,"88,806"
91,Menifee,"88,515"
92,Indio,"88,291"
93,Chino,"87,735"
94,Hawthorne,"87,370"
95,Citrus Heights,"87,061"
96,Whittier,"86,523"
97,Newport Beach,"86,280"
98,Redwood City,"85,217"
99,Alhambra,"84,974"
100,Hemet,"84,069"
101,Lake Forest,"82,911"
102,Buena Park,"82,781"
103,Merced,"82,289"
104,Mountain View city,"80,993"
105,Pleasanton,"80,847"
106,Lakewood,"80,771"
107,Tustin,"80,140"
108,Napa,"79,516"
109,Chino Hills,"79,298"
110,Alameda,"78,462"
111,Bellflower,"77,529"
112,Milpitas,"77,457"
113,Manteca,"77,073"
114,Folsom,"77,007"
115,Upland,"76,382"
116,Perris,"76,276"
117,Baldwin Park,"76,222"
118,San Ramon,"75,384"
119,Union City,"74,601"
120,Apple Valley,"72,359"
121,Turlock,"72,335"
122,Rancho Cordova,"72,056"
123,Lynwood,"71,022"
124,Redlands,"71,012"
125,Pittsburg,"70,492"
126,Walnut Creek,"69,007"
127,Davis,"67,988"
128,Yorba Linda,"67,815"
129,Redondo Beach,"67,700"
130,Camarillo,"67,543"
131,South San Francisco,"67,294"
132,Palo Alto,"67,019"
133,Yuba City,"66,388"
134,Laguna Niguel,"65,652"
135,San Clemente,"65,045"
136,Lodi,"65,006"
137,Carmichael,"64,785"
138,Madera,"64,362"
139,Santa Cruz,"64,273"
140,Florence-Graham,"64,162"
141,Lake Elsinore,"64,037"
142,Pico Rivera,"63,432"
143,Castro Valley,"63,288"
144,Rocklin,"63,127"
145,Montebello,"63,099"
146,Tulare,"62,838"
147,Encinitas,"62,713"
148,La Habra,"61,910"
149,Eastvale,"61,337"
150,National City,"60,896"
151,Monterey Park,"60,792"
152,Petaluma,"60,635"
153,Cupertino,"60,614"
154,Brentwood,"60,446"
155,South Whittier,"60,096"
156,Gardena,"59,924"
157,Porterville,"59,797"
158,La Mesa,"59,562"
159,Dublin,"59,172"
160,Woodland,"59,044"
161,San Rafael,"58,939"
162,Huntington Park,"58,694"
163,Arcadia,"58,207"
164,Santee,"57,615"
165,Diamond Bar,"56,434"
166,Fountain Valley,"56,372"
167,Hanford,"55,893"
168,Gilroy,"55,525"
169,Novato,"55,523"
170,Hacienda Heights,"54,970"
171,Highland,"54,859"
172,Paramount,"54,776"
173,Rosemead,"54,417"
174,Colton,"54,415"
175,Cathedral City,"54,037"
176,Watsonville,"53,616"
177,Yucaipa,"53,264"
178,West Sacramento,"52,826"
179,Delano,"52,713"
180,Palm Desert,"52,124"
181,Placentia,"52,049"
182,Glendora,"51,773"
183,Aliso Viejo,"50,925"
184,Rowland Heights,"50,602"
185,Cerritos,"50,172"
186,Poway,"49,842"
187,Azusa,"49,544"
188,Florin,"49,132"
189,La Mirada,"48,974"
190,North Highlands,"48,968"
191,Cypress,"48,955"
192,Rancho Santa Margarita,"48,792"
193,Covina,"48,403"
194,Ceres,"47,975"
195,Palm Springs,"47,525"
196,San Jacinto,"47,474"
197,Antelope,"47,326"
198,San Luis Obispo,"47,160"
199,Lincoln,"46,939"
200,Newark,"46,276"
201,El Dorado Hills,"45,599"
202,Beaumont,"45,403"
203,Altadena,"45,146"
204,Coachella,"44,849"
205,Danville,"44,417"
206,El Centro,"43,898"
207,Morgan Hill,"43,876"
208,Lompoc,"43,511"
209,San Bruno,"43,114"
210,Rohnert Park,"42,694"
211,Bell Gardens,"42,641"
212,Campbell,"42,470"
213,Brea,"42,330"
214,Rancho Palos Verdes,"42,271"
215,La Quinta,"40,704"
216,Oakley,"40,669"
217,La Puente,"40,268"
218,San Gabriel,"40,242"
219,Calexico,"39,934"
220,Culver City,"39,295"
221,Pacifica,"39,065"
222,Montclair,"38,865"
223,Stanton,"38,509"
224,Los Banos,"38,119"
225,Martinez,"38,117"
226,Hollister,"37,835"
227,La Presa,"37,437"
228,Monrovia,"37,006"
229,West Hollywood,"36,384"
230,Moorpark,"36,274"
231,Wildomar,"36,162"
232,Temple City,"36,137"
233,Claremont,"36,025"
234,San Juan Capistrano,"35,952"
235,Bell,"35,809"
236,Manhattan Beach,"35,573"
237,Pleasant Hill,"34,785"
238,Orangevale,"34,757"
239,Oildale,"34,723"
240,Beverly Hills,"34,362"
241,San Dimas,"34,239"
242,Seaside,"34,077"
243,Dana Point,"33,913"
244,Menlo Park,"33,869"
245,French Valley,"33,818"
246,Foster City,"33,784"
247,Foothill Farms,"33,749"
248,Westmont,"33,723"
249,Adelanto,"33,416"
250,Fallbrook,"33,021"
251,Lawndale,"33,007"
252,La Verne,"32,358"
253,El Paso de Robles (Paso Robles),"31,656"
254,Spring Valley CDP,"31,591"
255,Laguna Hills,"31,185"
256,Fair Oaks,"31,002"
257,Banning,"30,942"
258,Los Gatos,"30,922"
259,Saratoga,"30,886"
260,San Pablo,"30,839"
261,Goleta,"30,790"
262,Los Altos,"30,588"
263,Orcutt,"30,493"
264,Burlingame,"30,459"
265,Ladera Ranch,"30,288"
266,Santa Paula,"30,258"
267,San Carlos,"30,080"
268,Atascadero,"30,037"
269,Walnut,"30,008"
270,East Palo Alto,"29,633"
271,Suisun City,"29,379"
272,Atwater,"29,197"
273,Ridgecrest,"28,736"
274,Monterey,"28,512"
275,Desert Hot Springs,"28,430"
276,Vineyard,"28,315"
277,Benicia,"28,088"
278,Isla Vista,"27,690"
279,Maywood,"27,542"
280,Windsor,"27,506"
281,Imperial Beach,"27,290"
282,West Whittier-Los Nietos,"27,144"
283,Belmont,"27,110"
284,Eureka,"27,020"
285,Lemon Grove,"26,767"
286,Temescal Valley,"26,709"
287,Wasco,"26,708"
288,Norco,"26,569"
289,Paradise town,"26,543"
290,Twentynine Palms,"26,109"
291,Lafayette,"26,060"
292,Brawley,"26,009"
293,South Pasadena,"25,824"
294,Lemoore,"25,791"
295,Galt,"25,675"
296,Soledad,"25,597"
297,Reedley,"25,493"
298,San Lorenzo,"25,388"
299,Hercules,"25,343"
300,Valinda,"25,296"
301,El Cerrito city,"25,203"
302,Bay Point,"25,165"
303,Sanger,"24,978"
304,North Tustin,"24,736"
