id,name
1,Auberry
2,Bakersfield
3,Cambria
4,Castro Valley
5,Clarksburg
6,Eureka
7,Felton
8,Firebaugh
9,Fortuna
10,Kettleman City
11,Lemoore
12,Livermore
13,Merced
14,Moraga
15,Napa
16,Oakland
17,Olivehurst
18,Pismo Beach
19,Placerville
20,Red Bluff
21,Rio Vista
22,Riverdale
23,Salinas
24,San Carlos
25,San Francisco
26,San Jose
27,San Leandro
28,San Luis Obispo
29,San Mateo
30,Santa Rosa
31,Soledad
32,Valley Springs
33,Walnut Creek
34,Woodland
35,Fresno
36,Pleasanton
37,Martinez
38,Tracy
39,Moskowite Corner
40,Atascadero
41,Chico
42,Antioch
43,Campbell
44,Friant
45,Dixon
46,Concord
47,Berkeley
48,Paso Robles
49,Watsonville
50,Burney
51,Huron
52,Santa Maria
53,Clayton
54,Palo Cedro
55,San Bruno
56,Cottonwood
57,Clovis
58,Creston
59,Guinda
60,Templeton
61,Kerman
62,Alta Sierra
63,Elkhorn
64,Orland
65,Rodeo
66,Bethel Island
67,Larkfield-Wikiup
68,Santa Ynez
69,Nevada City
70,Shingletown
71,Bella Vista
72,Diamond Springs
73,Hanford
74,Highlands-Baywood Park
75,Lakeport
76,Madera
77,Point Arena
78,Stockton
79,Tollhouse
80,Union City
81,Cloverdale
82,Geyserville
83,Grover Beach
84,Laton
85,Redding
86,Willows
87,Atwater
88,Centerville
89,Fowler
90,Glen Ellen
91,Lincoln Village
92,Manchester
93,Novato
94,Squaw Valley
95,Brentwood
96,Petaluma
97,Rough and Ready
98,San Pablo
99,Sebastopol
100,Selma
101,Cameron Park
102,Oakdale
103,Redwood Valley
104,Santa Cruz
105,Alta
106,Anderson
107,Bodega Bay
108,Calistoga
109,Coulterville
110,Discovery Bay
111,East Richmond Heights
112,Ferndale
113,Grass Valley
114,Lockwood
115,Manila
116,Mountain Ranch
117,Newcastle
118,West Sacramento
119,Aptos
120,Davis
121,Los Gatos
122,Philo
123,Cupertino
124,Daly City
125,Los Altos Hills
126,Lost Hills
127,MI Wuk Village
128,North Fork
129,Sunnyvale
130,Woodside
131,Arnold
132,Colusa
133,East Foothills
134,Kensington
135,Meadow Vista
136,Orange Cove
137,Penn Valley
138,Silverado Resort
139,Carlotta
140,Fremont
141,Menlo Park
142,Milpitas
143,Nicolaus
144,San Rafael
145,Twain Harte
146,Camino
147,Forest Ranch
148,Occidental
149,Montgomery Creek
150,Grizzly Flats
151,Los Altos
152,Saratoga
153,Kentfield
154,Vallejo
155,Lafayette
156,South San Francisco
157,Belmont
158,Corralitos
159,Cutten
160,Day Valley
161,Georgetown
162,Buttonwillow
163,Monterey
164,Myrtletown
165,Oakley
166,Oroville
167,Paradise
168,Clearlake Oaks
169,Fairfield
170,Hayward
171,Wasco
172,Cold Springs-Tuolumne
173,Millbrae
174,Pacifica
175,Bayview-Montalvin
176,Crescent Mills
177,Greenville
178,Tara Hills
179,Half Moon Bay
180,Keswick
181,Auburn
182,Brownsville
183,San Anselmo
184,Scotts Valley
185,Vallecito
186,Seaside
187,Del Monte Forest
188,Healdsburg
189,Sanger
190,Prunedale
191,Fort Washington
192,Winters
193,Jamestown
194,Dinuba
195,Fellows
196,King City
197,Los Banos
198,Marysville
199,Lathrop
200,Middletown
201,Hollister
202,Rancho Tehama Reserve
203,Burlingame
204,Pittsburg
205,Zenia
206,Country Club
207,Garden Valley
208,Pasatiempo
209,Phoenix Lake
210,Manteca
211,Midpines
212,Morada
213,Danville
214,Forestville
215,Lagunitas
216,Lagunitas-Forest Knolls
217,Orinda
218,Garberville
219,Raisin City
220,Richmond
221,Somerset
222,Chowchilla
223,Gilroy
224,Lucas Valley-Marinwood
225,Newark
226,Fairfax
227,Castroville
228,Gustine
229,Pleasure Point
230,Arcata
231,Ben Lomond
232,Cherryland
233,Easton
234,Old Fig Garden
235,Bootjack
236,Butte Valley
237,Lucerne
238,El Verano
239,Mill Valley
240,Thermalito
241,Boulder Creek
242,Mountain View
243,Suisun City
244,Loyola
