region,outages
Acalanes Ridge,0
Acampo,0
Ahwahnee,0
Alamo,19
Albany,14
Albion,1
Alderpoint,0
Alhambra Valley,0
Alleghany,0
Allendale,0
Allensworth,0
Alpaugh,0
Alta,59
Alta Sierra,54
Alto,0
Alum Rock,0
Amador City,1
American Canyon,0
Amesti,0
Anchor Bay,0
Anderson,6
Angels,0
Angels Camp,0
Angwin,19
Annapolis,0
Antioch,33
Applegate,9
Aptos,19
Aptos Hills-Larkin Valley,2
Arbuckle,1
Arcata,35
Arnold,57
Aromas,0
Arroyo Grande,4
Artois,0
Arvin,13
Ashland,0
Atascadero,15
Atherton,0
Atwater,48
Auberry,7
Auburn,35
Auburn Lake Trails,0
August,1
Avenal,2
Avery,0
Avilla Beach,0
Badger,0
Bakersfield,1
Ballard,0
Ballico,0
Bangor,0
Bass Lake,0
Bay Point,1
Bayside,0
Bayview-Montalvin,28
Bayview/Pine Hill,0
Bear Valley - Hwy 4,0
Bear Valley - Hwy 49,0
Belden,1
Bella Vista,4
Belmont,14
Belvedere,8
Belvedere Tiburon,0
Ben Lomond,8
Benbow,0
Bend,0
Benicia,0
Berkeley,33
Berry Creek,0
Bethel Island,54
Bieber,1
Big Bend,0
Big Lagoon,0
Big sur,4
Biggs,8
Biola,0
Birds Landing,0
Black Point-Green Point,0
Blackhawk,0
Blacklake,0
Blocksburg,0
Bloomfield,0
Blue Lake,1
Bodega,10
Bodega Bay,18
Bolinas,0
Bonadelle Ranchos-Madera Ranchos,0
Bonny Doon,0
Boonville,1
Bootjack,4
Boronda,0
Boulder Creek,22
Bowles,0
Boyes Hot Springs,0
Bradley,0
Branscomb,0
Brentwood,52
Bridgeville,0
Brisbane,0
Broadmoor,0
Brookdale,0
Brooks,0
Brooktrails,0
Browns Valley,19
Brownsville,35
Buck Meadows,0
Buckhorn,1
Bucks Lake,0
Buellton,5
Buena Vista,0
Burbank,0
Burlingame,15
Burney,2
Burnt Ranch,0
Butte City,0
Butte Creek Canyon,0
Butte Meadows,0
Butte Valley,1
Buttonwillow,13
Byron,1
Caliente,0
Calistoga,57
Callender,4
Calpella,0
Calpine,0
Calwa,0
Camanche North Shore,0
Camanche Village,0
Cambria,7
Cambrian Park,0
Cameron Park,59
Camino,36
Camino Tassajara,0
Campbell,40
Camptonville,0
Cantua Creek,0
Canyon Dam,0
Canyondam,0
Capay,0
Capitola,5
Caribou,1
Carlotta,46
Carmel,0
Carmel Valley,0
Carmel Valley Village,4
Carmel-by-the-Sea,0
Carmet,0
Caruthers,2
Casmalia,0
Caspar,1
Cassel,0
Castle Hill,0
Castro Valley,21
Castroville,4
Catheys Valley,2
Cayucos,0
Cazadero,20
Cedar Ridge,0
Centerville,18
Challenge,8
Challenge-Brownsville,0
Cherokee,0
Cherryland,26
Chester,1
Chico,2
Chowchilla,10
Chualar,0
Clarksburg,30
Clayton,36
Clear Creek,1
Clearlake,20
Clearlake Oaks,37
Clearlake Riviera,0
Cleone,0
Cloverdale,55
Clovis,20
Clyde,15
Coalinga,0
Coarsegold,3
Cobb,0
Cohasset,0
Cold Springs,2
Cold Springs-Tuolumne,7
Colfax,1
College City,0
Collierville,0
Colma,0
Coloma,0
Columbia,1
Colusa,57
Comptche,0
Concord,32
Concow,0
Contra Costa Centre,0
Cool,0
Copperopolis,0
Corcoran,3
Corning,1
Corralitos,13
Corte Madera,0
Cotati,14
Cottonwood,2
Coulterville,54
Coultervillle,27
Country Club,39
Courtland,0
Covelo,0
Coyote,1
Crescent Mills,5
Cressey,0
Creston,15
Crockett,0
Crows Landing,0
Cupertino,45
Cutler,0
Cutten,43
Cuyama,0
Daly City,17
Danville,32
Davenport,0
Davis,56
Day Valley,13
Deer Park,20
Del Monte Forest,11
Del Rey,0
Del Rey Oaks,0
Delano,0
Delft Colony,0
Diablo,0
Diamond Springs,57
Dillon Beach,10
Dinuba,11
Discovery Bay,45
Dixon,48
Dobbins,0
Dogtown,0
Dorrington,0
Dos Palos,0
Dos Palos Y,1
Dos Rios,0
Downieville,0
Drytown,0
Dublin,14
Dunlap,0
Dunnigan,1
Durham,0
Dustin Acres,0
Dutch Flat,0
Earlimart,0
East Foothills,46
East Nicolaus,8
East Oakdale,0
East Palo Alto,15
East Quincy,0
East Richmond Heights,35
East Shore,1
East Sonora,0
Easton,3
Echo Lake,0
Edna,5
El Cerrito,1
El Dorado,1
El Dorado Hills,19
El Granada,0
El Nido,0
El Paso de Robles (Paso Robles),2
El Portal,0
El Sobrante,12
El Verano,25
Eldridge,0
Elk,0
Elk Creek,0
Elkhorn,15
Elverta,0
Emerald Lake Hills,1
Emeryville,0
Emigrant Gap,0
Escalon,1
Esparto,1
Eureka,33
Fairfax,10
Fairfield,37
Fairmead,0
Fairview,0
Fall River Mills,0
Farmington,0
Fellows,12
Felton,10
Ferndale,52
Fetters Hot Springs-Agua Caliente,0
Fiddletown,0
Fieldbrook,0
Fields Landing,28
Firebaugh,11
Fish Camp,0
Flournoy,0
Forbestown,0
Ford City,0
Forest Meadows,0
Forest Ranch,5
Foresthill,2
Forestville,38
Fort Bragg,18
Fort Washington,11
Fortuna,32
Foster City,0
Fowler,18
Franklin,0
Frazier Park,0
Freedom,0
Fremont,39
French Camp,0
French Gulch,1
Fresno,18
Friant,17
Fruitdale,0
Fuller Acres,0
Fulton,0
Galt,0
Garberville,38
Garden Acres,1
Garden Farms,0
Garden Valley,38
Georgetown,35
Gerber,2
Geyserville,55
Gilroy,33
Glen Ellen,31
Glencoe,0
Glenhaven,0
Glenn,19
Gold Run,0
Goleta,0
Gonzales,0
Goodyears Bar,0
Granite Bay,0
Grass Valley,56
Graton,0
Grayson,0
Greeley Hill,0
Green Valley,0
Greenacres,3
Greenbrae,0
Greenfield,0
Greenfield-Kern,6
Greenville,5
Greenwood,0
Gridley,1
Grimes,0
Grizzly Flats,35
Groveland,0
Grover Beach,15
Guadalupe,4
Gualala,0
Guerneville,19
Guinda,54
Gustine,37
Half Moon Bay,15
Hamilton Branch,0
Hamilton City,0
Hanford,24
Harmony,0
Hartland,0
Hartley,0
Hat Creek,0
Hayward,29
Healdsburg,35
Helm,0
Hercules,0
Hidden Valley Lake,0
Highlands-Baywood Park,19
Hillsborough,10
Hollister,10
Honcut,0
Hoopa,0
Hopland,0
Humboldt Hill,0
Hume,0
Huron,17
Hydesville,0
Igo,1
Indian Falls,1
Indianola,0
Interlaken,0
Inverness,0
Ione,8
Isleton,13
Jackson,8
Jamestown,38
Janesville,0
Jenner,0
Kelly Ridge,0
Kelseyville,19
Kennedy,0
Kensington,36
Kentfield,14
Kenwood,0
Kerman,20
Keswick,5
Kettleman City,6
King City,10
Kings Canyon National Pk,0
Kingsburg,0
Kingvale,0
Kneeland,0
Knights Landing,19
Knightsen,18
Korbel,0
Kyburz,0
La Grange,0
La Honda,0
La Porte,0
La Selva Beach,2
La Vina,0
Ladera,14
Lafayette,27
Lagunitas,13
Lagunitas-Forest Knolls,13
Lake Almanor Country Club,1
Lake Almanor Peninsula,0
Lake Almanor West,0
Lake California,0
Lake Don Pedro,0
Lake Nacimiento,4
Lake Wildwood,0
Lake of the Pines,0
Lakehead,0
Lakeport,56
Lamont,3
Lanare,0
Larkfield-Wikiup,57
Larkspur,0
Las Flores,0
Las Lomas,0
Lathrop,39
Laton,23
Laytonville,0
Le Grand,0
Lebec,1
Leggett,0
Lemoore,9
Lexington Hills,0
Lincoln,23
Lincoln Village,48
Linda,1
Linden,0
Little River,20
Live Oak,0
Live Oak-Santa Cruz,3
Livermore,31
Livingston,27
Lockeford,0
Lockwood,15
Lodi,16
Lodoga,0
Loleta,1
Loma Mar,0
Loma Rica,0
Lompico,1
Lompoc,9
London,0
Long Barn,0
Loomis,3
Los Alamos,0
Los Altos,39
Los Altos Hills,47
Los Banos,39
Los Berros,0
Los Gatos,45
Los Molinos,0
Los Olivos,0
Los Osos,2
Los Ranchos,3
Lost Hills,15
Lotus,0
Lower Lake,0
